Saving model. Step: 0, loss: 1.212870
Saving model. Step: 100, loss: 72.593273
Saving model. Step: 200, loss: 66.328018
Saving model. Step: 300, loss: 68.240356
Saving model. Step: 400, loss: 65.340084
Saving model. Step: 500, loss: 65.597398
Saving model. Step: 600, loss: 63.802348
Saving model. Step: 700, loss: 67.898114
Saving model. Step: 800, loss: 68.804444
Saving model. Step: 900, loss: 62.880946
Saving model. Step: 1000, loss: 62.053087
Saving model. Step: 1100, loss: 62.902564
Saving model. Step: 1200, loss: 63.689226
Saving model. Step: 1300, loss: 63.581640
Saving model. Step: 1400, loss: 61.360470
Saving model. Step: 1500, loss: 62.806976
Saving model. Step: 1600, loss: 60.561405
Saving model. Step: 1700, loss: 62.314173
Saving model. Step: 1800, loss: 64.866997
Saving model. Step: 1900, loss: 59.487770
Saving model. Step: 2000, loss: 61.103652
Saving model. Step: 2100, loss: 58.325573
Saving model. Step: 2200, loss: 60.915259
Saving model. Step: 2300, loss: 60.685600
Saving model. Step: 2400, loss: 60.089768
Saving model. Step: 2500, loss: 60.002454
Saving model. Step: 2600, loss: 59.754087
Saving model. Step: 2700, loss: 58.884427
Saving model. Step: 2800, loss: 59.273232
Saving model. Step: 2900, loss: 61.266964
Saving model. Step: 3000, loss: 59.090638
Saving model. Step: 3100, loss: 58.615348
Saving model. Step: 3200, loss: 57.219813
Saving model. Step: 3300, loss: 57.470731
Saving model. Step: 3400, loss: 56.994667
Saving model. Step: 3500, loss: 57.566434
Saving model. Step: 3600, loss: 58.244300
Saving model. Step: 3700, loss: 56.619968
Saving model. Step: 3800, loss: 56.584184
Saving model. Step: 3900, loss: 56.090848
Saving model. Step: 4000, loss: 57.164201
Saving model. Step: 4100, loss: 57.289526
Saving model. Step: 4200, loss: 57.674431
Saving model. Step: 4300, loss: 57.040358
Saving model. Step: 4400, loss: 57.341335
Saving model. Step: 4500, loss: 56.552523
Saving model. Step: 4600, loss: 55.886336
Saving model. Step: 4700, loss: 57.049989
Saving model. Step: 4800, loss: 56.115202
Saving model. Step: 4900, loss: 55.261695
Saving model. Step: 5000, loss: 55.408992
Saving model. Step: 5100, loss: 55.176584
Saving model. Step: 5200, loss: 55.625810
Saving model. Step: 5300, loss: 55.800667
Saving model. Step: 5400, loss: 54.584960
Saving model. Step: 5500, loss: 55.119789
Saving model. Step: 5600, loss: 55.259638
Saving model. Step: 5700, loss: 55.522700
Saving model. Step: 5800, loss: 54.522418
Saving model. Step: 5900, loss: 54.315759
Saving model. Step: 6000, loss: 54.411334
Saving model. Step: 6100, loss: 55.857288
Saving model. Step: 6200, loss: 54.605811
Saving model. Step: 6300, loss: 55.144522
Saving model. Step: 6400, loss: 53.561572
Saving model. Step: 6500, loss: 53.148403
Saving model. Step: 6600, loss: 54.744057
Saving model. Step: 6700, loss: 54.761482
Saving model. Step: 6800, loss: 55.311869
Saving model. Step: 6900, loss: 53.854099
Saving model. Step: 7000, loss: 53.354211
Saving model. Step: 7100, loss: 53.733928
Saving model. Step: 7200, loss: 55.528624
Saving model. Step: 7300, loss: 53.953776
Saving model. Step: 7400, loss: 53.524186
Saving model. Step: 7500, loss: 52.863610
Saving model. Step: 7600, loss: 55.298056
Saving model. Step: 7700, loss: 54.663808
Saving model. Step: 7800, loss: 54.451567
Saving model. Step: 7900, loss: 54.410895
Saving model. Step: 8000, loss: 52.870572
Saving model. Step: 8100, loss: 53.893688
Saving model. Step: 8200, loss: 53.516814
Saving model. Step: 8300, loss: 52.896118
Saving model. Step: 8400, loss: 53.098928
Saving model. Step: 8500, loss: 53.847852
Saving model. Step: 8600, loss: 53.561567
Saving model. Step: 8700, loss: 52.922393
Saving model. Step: 8800, loss: 52.508575
Saving model. Step: 8900, loss: 53.749763
Saving model. Step: 9000, loss: 52.783969
Saving model. Step: 9100, loss: 51.972520
Saving model. Step: 9200, loss: 52.964312
Saving model. Step: 9300, loss: 52.700361
Saving model. Step: 9400, loss: 52.668757
Saving model. Step: 9500, loss: 52.017053
Saving model. Step: 9600, loss: 51.951983
Saving model. Step: 9700, loss: 53.739015
Saving model. Step: 9800, loss: 52.731167
Saving model. Step: 9900, loss: 52.145024
Saving model. Step: 10000, loss: 51.522451
Saving model. Step: 10100, loss: 52.124177
Saving model. Step: 10200, loss: 52.937919
Saving model. Step: 10300, loss: 54.196888
Saving model. Step: 10400, loss: 52.066172
Saving model. Step: 10500, loss: 50.962791
Saving model. Step: 10600, loss: 51.472988
Saving model. Step: 10700, loss: 51.687540
Saving model. Step: 10800, loss: 51.867942
Saving model. Step: 10900, loss: 50.700673
Saving model. Step: 11000, loss: 52.183707
Saving model. Step: 11100, loss: 52.738250
Saving model. Step: 11200, loss: 51.577115
Saving model. Step: 11300, loss: 50.979765
Saving model. Step: 11400, loss: 52.004996
Saving model. Step: 11500, loss: 53.417567
Saving model. Step: 11600, loss: 50.999815
Saving model. Step: 11700, loss: 51.351110
Saving model. Step: 11800, loss: 50.740426
Saving model. Step: 11900, loss: 50.509530
Saving model. Step: 12000, loss: 50.744281
Saving model. Step: 12100, loss: 50.927727
Saving model. Step: 12200, loss: 49.791895
Saving model. Step: 12300, loss: 50.086214
Saving model. Step: 12400, loss: 51.199873
Saving model. Step: 12500, loss: 50.788235
Saving model. Step: 12600, loss: 51.271057
Saving model. Step: 12700, loss: 50.401405
Saving model. Step: 12800, loss: 50.410851
Saving model. Step: 12900, loss: 50.283169
Saving model. Step: 13000, loss: 50.808835
Saving model. Step: 13100, loss: 49.620532
Saving model. Step: 13200, loss: 51.565072
Saving model. Step: 13300, loss: 51.652142
Saving model. Step: 13400, loss: 49.308405
Saving model. Step: 13500, loss: 50.931502
Saving model. Step: 13600, loss: 50.512690
Saving model. Step: 13700, loss: 49.254208
Saving model. Step: 13800, loss: 51.512563
Saving model. Step: 13900, loss: 50.284727
Saving model. Step: 14000, loss: 49.040781
